"","Year","EventName","DriverId","TeamName","engine","works","Q1time","Rainfall","FullThrottlePct","SessionCondition","FastestQ1","GapToFastest","Circuit_Match","City","Country","Track.Length..km.","Turns","Direction","Circuit.Type","First.Grand.Prix","Last.Grand.Prix","Races","Best.Lap.Timing","Best.Lap.Driver","Best.Lap.Year","Best.Lap.Time","first.year","last.year"
"62",2014,"Bahrain Grand Prix","gutierrez","Sauber","Ferrari",0,96.567,NA,NA,NA,94.874,1.693,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"63",2014,"Bahrain Grand Prix","ericsson","Caterham","Renault",0,97.875,NA,NA,NA,94.874,3.001,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"64",2014,"Bahrain Grand Prix","vergne","Toro Rosso","Renault",0,95.815,NA,NA,NA,94.874,0.941000000000003,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"65",2014,"Bahrain Grand Prix","sutil","Sauber","Ferrari",0,96.84,NA,NA,NA,94.874,1.96600000000001,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"66",2014,"Chinese Grand Prix","hamilton","Mercedes","Mercedes",1,115.516,NA,NA,NA,115.516,0,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"67",2014,"Chinese Grand Prix","rosberg","Mercedes","Mercedes",1,116.058,NA,NA,NA,115.516,0.542000000000002,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"68",2014,"Chinese Grand Prix","alonso","Ferrari","Ferrari",1,116.961,NA,NA,NA,115.516,1.44499999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"69",2014,"Chinese Grand Prix","ricciardo","Red Bull","Renault",0,116.641,NA,NA,NA,115.516,1.125,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"70",2014,"Chinese Grand Prix","vettel","Red Bull","Renault",0,115.926,NA,NA,NA,115.516,0.409999999999997,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"71",2014,"Chinese Grand Prix","hulkenberg","Force India","Mercedes",0,115.913,NA,NA,NA,115.516,0.396999999999991,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"72",2014,"Chinese Grand Prix","bottas","Williams","Mercedes",0,116.501,NA,NA,NA,115.516,0.984999999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"73",2014,"Chinese Grand Prix","raikkonen","Ferrari","Ferrari",1,118.279,NA,NA,NA,115.516,2.76299999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"74",2014,"Chinese Grand Prix","perez","Force India","Mercedes",0,118.362,NA,NA,NA,115.516,2.84599999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"75",2014,"Chinese Grand Prix","kvyat","Toro Rosso","Renault",0,117.261,NA,NA,NA,115.516,1.74499999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"76",2014,"Chinese Grand Prix","button","McLaren","Mercedes",0,117.783,NA,NA,NA,115.516,2.267,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"77",2014,"Chinese Grand Prix","vergne","Toro Rosso","Renault",0,117.477,NA,NA,NA,115.516,1.961,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"78",2014,"Chinese Grand Prix","kevin_magnussen","McLaren","Mercedes",0,117.369,NA,NA,NA,115.516,1.85299999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"79",2014,"Chinese Grand Prix","massa","Williams","Mercedes",0,116.85,NA,NA,NA,115.516,1.33399999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
"80",2014,"Chinese Grand Prix","gutierrez","Sauber","Ferrari",0,118.988,NA,NA,NA,115.516,3.47199999999999,"Shanghai International Circuit","Shanghai"," China",5.451,16,"Clockwise","Race","2004 Chinese Grand Prix","2025 Chinese Grand Prix",18,"1:32.238","Michael Schumacher",2004,92.238,2004,2025
