Year,EventName,EventDate,Driver,Team,LapTime,FullThrottlePct
2025,Singapore Grand Prix,2025-10-05,RUS,Mercedes,0 days 00:01:29.158000,51.114413075780085
2025,United States Grand Prix,2025-10-19,VER,Red Bull Racing,0 days 00:01:32.510000,56.69957686882934
2025,Mexico City Grand Prix,2025-10-26,NOR,McLaren,0 days 00:01:15.586000,47.02702702702703
2025,São Paulo Grand Prix,2025-11-09,NOR,McLaren,0 days 00:01:09.511000,57.509157509157504
2025,Las Vegas Grand Prix,2025-11-22,NOR,McLaren,0 days 00:01:47.934000,48.161764705882355
2025,Qatar Grand Prix,2025-11-30,PIA,McLaren,0 days 00:01:19.387000,68.4729064039409
2025,Abu Dhabi Grand Prix,2025-12-07,VER,Red Bull Racing,0 days 00:01:22.207000,66.12641815235008
2026,Australian Grand Prix,2026-03-08,RUS,Mercedes,0 days 00:01:18.518000,62.61022927689594
2026,Chinese Grand Prix,2026-03-15,ANT,Mercedes,0 days 00:01:32.064000,55.02121640735502
2026,Japanese Grand Prix,2026-03-29,ANT,Mercedes,0 days 00:01:28.778000,65.5425219941349
